"County","Station # *","Location Type","Name of Location","Deer Service Type","Bear Registration Type","Physical Address","City","Zip","Phone","Notes"
"Fond du Lac","2005","2. CWD sampling self-service kiosk","ELDORADO MARSH LEARNING CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","W9001 HWY 23","ELDORADO","54932","920-210-3642","Self Service CWD sampling kiosk available 24hrs/day. Drop head in freezer if provided during warm temps.When submitting a head for sampling, for faster service please text or call James Christopoulos at 920-210-3642"
"Fond du Lac","2001","2. CWD sampling self-service kiosk","KMSF-NU HEADQUARTERS AUBURN ROAD","CWD Testing Only - Must have completed electronic registration","Not Available for bear","N1766 CO RD G","CAMPBELLSPORT","53010","920-420-0563","24 Hours"
"Forest","2112","2. CWD sampling self-service kiosk","CRANDON RANGER STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","404 N LAKE STREET","CRANDON","54520","715-218-8218","Kiosk available 24/7. Mid-September to Mid-January Kiosk next to cold storage building. Look for red ""CWD Sampling"" sign."
"Forest","2114","1. CWD sampling with assistance","SCHAEFER'S IGA","CWD Testing Only - Must have completed electronic registration","Not Available for bear","600 E PIONEER ST.","CRANDON","54520","715-478-2558","CWD sampling available behind store at game processing facility. Assistance with sampling available only during normal business hours."
"Grant","2250","3. CWD sampling by appointment only","OUTDOOR CREATIONS TAXIDERMY","CWD Testing Only - Must have completed electronic registration","Not Available for bear","390 GRANDVIEW LANE","PLATTEVILLE","53588","608-778-1343","Call for appointment. Available most days with flexible schedule."
"Grant","2236","3. CWD sampling by appointment only","TK EURO MOUNTS","CWD Testing Only - Must have completed electronic registration","Not Available for bear","16166 WALTZ LN","BOSCOBEL, WI","53805","608-375-4884","Store hours vary. Please call to schedule a drop off time or in person appointment. You will be required to leave the head at time of drop off unless scheduled otherwise."
"Grant","2238","2. CWD sampling self-service kiosk","TOWN OF ELLENBORO KIOSK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","3764 WILLOW BRANCH RD","ELLENBORO","51813","608-279-7405","24 hour self-service kiosk."
"Grant","2235","1. CWD sampling with assistance","OUTDOOR CREATIONS DEER PROCESSING","CWD Testing Only - Must have completed electronic registration","Not Available for bear","390 GRANDVIEW LANE","PLATTEVILLE","53588","608-778-1343","Call for appointment. Available most days with flexible schedule."
"Grant","2234","1. CWD sampling with assistance","THE BUTCHER SHOP","CWD Testing Only - Must have completed electronic registration","Not Available for bear","4391 US HWY 18","FENNIMORE, WI","53809","608-822-6712","8am-5pm"
"Grant","2219","1. CWD sampling with assistance","HIDDEN VIEW BUTCHER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","5308 US-18","FENNIMORE","53809","608-822-7080","Mon-Sat 7am-9pm, Sun closed;  CWD Pantry Donation Drop-off Location"
"Green","2311","2. CWD sampling self-service kiosk","MONTICELLO KIOSK","CWD Testing and electronic registration options available","Not Available for bear","320 PRATT RD","MONTICELLO","53570","608-485-3610","New Kiosk 9/2024!!!  24/7 self-service CWD kiosk in Green County. It is located in the parking lot of the Sugar River State Trailhead in eastern Monticello."
"Green Lake","2410","3. CWD sampling by appointment only","TAYLOR'D TAXIDERMY","CWD Testing Only - Must have completed electronic registration","Not Available for bear","W950 WOODLAND CIRCLE","GREEN LAKE","54941","920-294-0890","Call Ahead"
"Green Lake","2411","2. CWD sampling self-service kiosk","DNR WHITE RIVER SHOP","CWD Testing Only - Must have completed electronic registration","Not Available for bear","W4832 SOUTH RD.","BERLIN","54923","920-410-7464","24/7 Self-service kiosk available outside station gate.  DNR Wildlife Management staff are available to assist with CWD sampling by appointment only, call Grant Gagliardi, 920-410-7464"
"Green Lake","2402","2. CWD sampling self-service kiosk","BROOKLYN TOWN HALL","CWD Testing Only - Must have completed electronic registration","Not Available for bear","N5988 COUNTY RD A","GREEN LAKE","54941","920-410-7464","Open Daily 24 Hours"
"Green Lake","2408","2. CWD sampling self-service kiosk","FOX RIVER TRAVEL PLAZA","CWD Testing Only - Must have completed electronic registration","Not Available for bear","811 GREEN LAKE ROAD (HWY 73)","PRINCETON","54968-8963","920-410-7464","DAILY 5AM-MIDNIGHT"
"Green Lake","2407","2. CWD sampling self-service kiosk","STATION 44 (FORMERLY WAYSIDE/BP)","CWD Testing Only - Must have completed electronic registration","Not Available for bear","STATE HIGHWAY 44 AND 73","MARKESAN","53946-8512","920-410-7464","Daily 24 Hrs."
"Iowa","2500","3. CWD sampling by appointment only","DODGEVILLE DNR SERVICE CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","1500 N JOHNS STREET","DODGEVILLE","53533","608-297-1511","DNR Staff will be available for sampling by APPOINTMENT ONLY. To schedule an appointment call Travis Anderson at (608) 279-1511"
"Iowa","2505","2. CWD sampling self-service kiosk","BARNEVELD SELF SERVICE KIOSK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","43.00826, -89.89593","BARNEVELD","53507","608-220-2574","24/7 self service kiosk  Attention: This location has moved from Kwik Trip as of October 14, 2022. The new kiosk location is at the Town of Brigham salt storage facility, (43.00826, -89.89593). Please contact Spencer Parkinson (608) 485-3610 with any questions"
"Iowa","2511","1. CWD sampling with assistance","KATE'S BAIT AND SPORTING GOODS","CWD Testing and electronic registration options available","Not Available for bear","3916 STATE HWY 23","DODGEVILLE","53533","608-935-0131","24/7 Self Service Kiosk. Assisted sampling during business hours. No assisted sampling on Wednesdays or Sundays.   9 Day Gun Hunt hours for assisted sampling offered during the designated times below: Opening day Nov 23: Closed  Sun. Nov 24- Sun. Dec 1: 8:00am-2pm Thanksgiving Nov 28: Closed   Kate's Bait will not offer Assisted Sampling after the Nine Day Gun Season; the Self Service Kiosk will only be offered at that time. For more info call the store at 608-935-0131."
"Iron","2614","2. CWD sampling self-service kiosk","OMA TOWN HALL","CWD Testing Only - Must have completed electronic registration","Not Available for bear","4514 W TOWN HALL RD","HURLEY","54534","715-562-0017","24/7 self-service kiosk. Call before or after dropping off a head (715) 562-0017."
"Iron","2601","1. CWD sampling with assistance","MERCER RANGER STATION - CALL BEFORE","CWD Testing and electronic registration options available","Not Available for bear","5291N STATE HOUSE CIRCLE","MERCER","54547","715-562-0017","STATION UNDER CONSTRUCTION.  Call biologist to schedule drop off: (715-208-2531). Due to construction, access on the property is not permitted without permission."
"Iron","2611","1. CWD sampling with assistance","RAT'S ANIMAL FEED","CWD Testing Only - Must have completed electronic registration","Not Available for bear","9501 W UPPER ROAD","SAXON, WI","54559","715-360-0289","CWD AND DEER AGING STATION  M-F 8AM-5PM SA 9AM-2PM"
"Jackson","2721","2. CWD sampling self-service kiosk","BLACK RIVER FALLS DNR SERVICE CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","910 HWY 54E","BLACK RIVER FALLS","54615","715-896-3882","By appointment only or self-serve kiosk will be available 24-7."
"Jackson","2728","2. CWD sampling self-service kiosk","YORK ROD AND GUN CLUB","CWD Testing Only - Must have completed electronic registration","Not Available for bear","W16628 YORK BALL PARK ROAD","OSSEO","54758","715-299-1258","Samples can be dropped off 24/7 at kiosk. No personnel to assist with data kit. Not a registration station"
"Jackson, Monroe","2723","2. CWD sampling self-service kiosk","MELROSE EXPRESS BP","CWD Testing Only - Must have completed electronic registration","Not Available for bear","301 S WASHINGTON ST.","MELROSE","54642","715-299-1258","24hrs/7days kiosk"
"Jackson, Monroe","2725","2. CWD sampling self-service kiosk","WHITETAIL CROSSING CONVENIENCE STORE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","W9040 WI-54","BLACK RIVER FALLS","54615","715-284-2852","24/7 Self-Service Kiosk"
"Jefferson","2899","2. CWD sampling self-service kiosk","DNR LAKE MILLS FIELD OFFICE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","180 SANDY BEACH ROAD","LAKE MILLS","53551","608-235-4829","Self-service kiosk available 24/7.  DNR Wildlife Management staff available to assist in lymph node removal by appointment only by calling (608) 235-4829"
"Jefferson","2811","2. CWD sampling self-service kiosk","BARK RIVER LANES","CWD Testing Only - Must have completed electronic registration","Not Available for bear","W1194 MAIN STREET","SULLIVAN","53178","608-235-4829","Self-service kiosk available 24/7. Please note, Bark River staff not available to assist."
"Juneau","2953","3. CWD sampling by appointment only","TODD'S WILDLIFE TAXIDERMY, LLC","CWD Testing Only - Must have completed electronic registration","Not Available for bear","N2148 STATE RD. 58","MAUSTON","53948","608-847-7693","By appointment  Please have Tag # and Customer ID number and location information  ready to fill out Data Sheet"
"Juneau","2964","3. CWD sampling by appointment only","FROH'S TAXIDERMY","CWD Testing Only - Must have completed electronic registration","Not Available for bear","W9650 JACOBSEN ROAD","CAMP DOUGLAS","54618","608-547-1279","By appointment  Please have Tag # and Customer ID number, and location information ready to fill out Data Sheet"
"Juneau","2967","2. CWD sampling self-service kiosk","NECEDAH RANGER STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","400 BIRCH ST.","NECEDAH","54646","715-697-3129","24 hour self-serve Kiosk Available until February 3.   Please have Tag # and Customer ID number ready to fill out Data Sheet"
"Juneau","2909","2. CWD sampling self-service kiosk","JUNEAU CO. LAND DEPARTMENT","CWD Testing Only - Must have completed electronic registration","Not Available for bear","N4830 US-12","MAUSTON","53948","715-697-3129","24/7 self-service kiosk until February 3.  Please have Tag # and Customer ID number and location information ready to fill out Data Sheet"
"Juneau, Sauk","2971","2. CWD sampling self-service kiosk","UPHAM WOODS LEARNING CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","N194 COUNTY RD N","WISCONSIN DELLS","53965","715-697-3129","24 hour self-serve Kiosk   Please have Tag # and Customer ID number ready to fill out Data Sheet"
"Kenosha","3005","2. CWD sampling self-service kiosk","KIOSK - RICHARD BONG RECREATIONAL AREA","CWD Testing Only - Must have completed electronic registration","Not Available for bear","26313 BURLINGTON RD.","KANSASVILLE","53139","262-945-9461","Drop off site only, self-service. For questions please call Wildlife Biologist Marty Johnson - 262-945-9461. Kiosk located by Firewood Shed at the Park Headquarters."
"Kenosha","3007","2. CWD sampling self-service kiosk","KENOSHA BOWMEN","CWD Testing Only - Must have completed electronic registration","Not Available for bear","15211 75TH STREET","BRISTOL","53104","262-945-9461","Drop off site only, self-service. For questions contact Wildlife Biologist Marty Johnson at 262-945-9461. Kiosk is located at club front gate."
"La Crosse","3214","2. CWD sampling self-service kiosk","BUBBA'S MEATS","CWD Testing Only - Must have completed electronic registration","Not Available for bear","1248 REDFIELD ST.","LA CROSSE","54650","","24/7 Kiosk"
"La Crosse","3219","2. CWD sampling self-service kiosk","ROWE PARK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","710 HILLTOPPER DRIVE","ONALASKA","","",""
"La Crosse","3220","1. CWD sampling with assistance","ST JOE'S COUNTRY MARKET","CWD Testing Only - Must have completed electronic registration","Not Available for bear","W2721 WIS-33","LA CROSSE","54601","",""
"La Crosse","3212","1. CWD sampling with assistance","EMMA'S BAIT SHOP","CWD Testing Only - Must have completed electronic registration","Not Available for bear","N5610 CTY OT","ONALASKA","54650","608-781-4926","Head Collection- Open Daily 9am-3pm Call to see if accepting samples in early season"
"Lafayette","3322","2. CWD sampling self-service kiosk","YELLOWSTONE WILDLIFE AREA","CWD Testing Only - Must have completed electronic registration","Not Available for bear","8874 COUNTY ROAD G","FAYETTE","53530","608-228-2713","24/7 Self-Serve Kiosk Located in parking lot with Fire number 8874. Parking lot will have a white 5 car garage."
"Langlade","3401","2. CWD sampling self-service kiosk","ANTIGO DNR SERVICE CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","223 EAST STEINFEST ROAD","ANTIGO","54409","715-977-2500","24/7 self-service kiosk available. Kiosk is located in public parking lot on the east side of service center. DNR staff also available to assist with in-person CWD sampling; call 715-977-2500 to schedule an appointment."
"Langlade, Oconto","3400","2. CWD sampling self-service kiosk","WOLF RIVER TOWN HALL","CWD Testing Only - Must have completed electronic registration","Not Available for bear","N4393 BLUE GOOSE DR.","WHITE LAKE","54491","715-527-8452","24/7 Self Service Kiosk Available. Kiosk at northeast corner of building, under the overhang."
"Langlade, Shawano","3413","1. CWD sampling with assistance","ARROWOODS WILDSIDE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","W7498 HIGHWAY 47","PHLOX","54409","715-489-3501","CWD sampling available for customers. When dropping off deer for processing-let staff know you'd like a CWD sample."
"Lincoln","3535","2. CWD sampling self-service kiosk","MERRILL DNR RANGER STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","101 EAGLE DRIVE","MERRILL","54452","715-527-8452","24/7 self-service kiosk available. Kiosk is located in public parking lot on the NW side of building. DNR staff also available to assist with in-person CWD sampling; call 715-527-8452 to schedule an appointment."
"Lincoln","3517","2. CWD sampling self-service kiosk","DNR LEMAY FORESTY CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","518 W SOMO AVE","TOMAHAWK","54487","715-527-8452","Self-service kiosk available 24/7. Kiosk is located west of the main building by the stockroom (white garages)."
"Lincoln","3508","1. CWD sampling with assistance","GEISS MEAT SERVICE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","W4490 POPE ROAD","MERRILL","54452","715-536-5283","CWD sample collection available for customers. When dropping deer off for processing, let staff know you'd like it sampled."
"Manitowoc","3610","2. CWD sampling self-service kiosk","MISHICOT DNR STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","2220 E. COUNTY RD V","MISHICOT","54228","920-755-4983","7:30AM to 4:30PM"
"Marathon","3726","3. CWD sampling by appointment only","BRAD KRUEGER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","N391 CTY RD. D","BIRNAMWOOD","54414","715-881-0084","Please call to set up an appointment.  Please have Tag # and Customer ID number and location information ready to fill out Data Sheet"
"Marathon","3798","2. CWD sampling self-service kiosk","WAUSAU SERVICE CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","225051 RIB MOUNTAIN DR.","WAUSAU","54401","715-697-3129","24 hour, 7 day Self-Serve Kiosks  Please have Tag # and Customer ID number and location information ready to fill out Data Sheet"
"Marathon","3725","1. CWD sampling with assistance","SUPERIOR TAXIDERMY","CWD Testing Only - Must have completed electronic registration","Not Available for bear","9710 CAMP PHILLIPS RD","WESTON","54474","715-359-0557","9a-5p Mon-Fri or by appointment  Please have Tag # and Customer ID number and location information ready to fill out Data Sheet"
